,y,x1,x2,x3,x4,x5,x6,x7
sample_1,0.18,0.26899999999999996,0.6509999999999999,0.833,0.583,0.785,0.843,0.8220000000000001
sample_2,0.18,0.268,0.65,0.852,0.578,0.7759999999999999,0.8390000000000001,0.8220000000000001
sample_3,0.18,0.268,0.66,0.8240000000000001,0.5720000000000001,0.765,0.8079999999999999,0.7859999999999999
sample_4,0.18,0.267,0.6679999999999999,0.8079999999999999,0.5660000000000001,0.753,0.8,0.7859999999999999
sample_5,0.18,0.267,0.647,0.762,0.56,0.745,0.773,0.746
sample_6,0.18,0.266,0.634,0.775,0.555,0.7559999999999999,0.8109999999999999,0.7859999999999999
sample_7,0.18,0.266,0.654,0.774,0.552,0.767,0.852,0.821
sample_8,0.18,0.265,0.672,0.774,0.5479999999999999,0.7609999999999999,0.8059999999999999,0.8220000000000001
sample_9,0.18,0.263,0.639,0.762,0.545,0.753,0.8109999999999999,0.789
sample_10,0.18,0.253,0.662,0.77,0.542,0.745,0.813,0.789
sample_11,0.155,0.242,0.653,0.76,0.5379999999999999,0.725,0.8009999999999999,0.789
sample_12,0.155,0.231,0.628,0.736,0.535,0.703,0.775,0.742
sample_13,0.155,0.22,0.644,0.677,0.532,0.6809999999999999,0.728,0.72
sample_14,0.155,0.21,0.622,0.546,0.529,0.682,0.722,0.701
sample_15,0.155,0.201,0.626,0.4,0.525,0.685,0.7490000000000001,0.718
sample_16,0.155,0.205,0.6659999999999999,0.41600000000000004,0.522,0.6970000000000001,0.807,0.754
sample_17,0.155,0.20800000000000002,0.647,0.39399999999999996,0.519,0.71,0.812,0.7979999999999999
sample_18,0.155,0.212,0.643,0.40700000000000003,0.515,0.723,0.789,0.769
sample_19,0.155,0.162,0.648,0.40299999999999997,0.512,0.73,0.792,0.772
sample_20,0.155,0.233,0.65,0.42100000000000004,0.509,0.727,0.7909999999999999,0.794
sample_21,0.196,0.23399999999999999,0.669,0.425,0.505,0.7240000000000001,0.7659999999999999,0.7659999999999999
sample_22,0.196,0.235,0.639,0.433,0.502,0.722,0.774,0.7659999999999999
sample_23,0.196,0.23600000000000002,0.6629999999999999,0.428,0.502,0.7190000000000001,0.77,0.759
sample_24,0.196,0.23800000000000002,0.638,0.39799999999999996,0.505,0.7170000000000001,0.75,0.733
sample_25,0.196,0.239,0.645,0.42700000000000005,0.508,0.715,0.78,0.769
sample_26,0.196,0.24,0.669,0.41200000000000003,0.511,0.713,0.7979999999999999,0.784
sample_27,0.196,0.24100000000000002,0.6579999999999999,0.341,0.514,0.7120000000000001,0.758,0.763
sample_28,0.196,0.242,0.64,0.419,0.518,0.7070000000000001,0.816,0.797
sample_29,0.196,0.243,0.682,0.36700000000000005,0.521,0.6990000000000001,0.757,0.775
sample_30,0.196,0.244,0.628,0.265,0.527,0.6859999999999999,0.752,0.725
sample_31,0.249,0.0728,0.643,0.298,0.535,0.7090000000000001,0.78,0.7929999999999999
sample_32,0.249,0.132,0.647,0.14800000000000002,0.544,0.7040000000000001,0.792,0.77
sample_33,0.249,0.14,0.665,0.201,0.552,0.737,0.826,0.8079999999999999
sample_34,0.249,0.135,0.665,0.22399999999999998,0.552,0.732,0.8290000000000001,0.8270000000000001
sample_35,0.249,0.131,0.6659999999999999,0.28,0.5489999999999999,0.727,0.813,0.813
sample_36,0.249,0.111,0.664,0.349,0.547,0.721,0.775,0.76
sample_37,0.249,0.0554,0.638,0.273,0.544,0.6809999999999999,0.7440000000000001,0.732
sample_38,0.249,0.0,0.634,0.19699999999999998,0.542,0.6859999999999999,0.74,0.723
sample_39,0.249,0.139,0.67,0.187,0.539,0.722,0.794,0.774
sample_40,0.249,0.171,0.66,0.243,0.562,0.73,0.8290000000000001,0.795
sample_41,0.281,0.174,0.654,0.19699999999999998,0.58,0.703,0.7709999999999999,0.763
sample_42,0.281,0.239,1.0,0.155,0.6409999999999999,0.7,0.8029999999999999,0.7909999999999999
sample_43,0.281,0.254,0.611,0.14300000000000002,0.737,0.79,0.809,0.8140000000000001
sample_44,0.281,0.253,0.645,0.43700000000000006,0.7929999999999999,0.892,0.963,0.971
sample_45,0.281,0.203,0.7240000000000001,0.515,0.615,0.7609999999999999,0.855,0.863
sample_46,0.281,0.152,0.6970000000000001,0.48700000000000004,0.588,0.7559999999999999,0.765,0.731
sample_47,0.281,0.10099999999999999,0.688,0.496,0.5920000000000001,0.772,0.7659999999999999,0.759
sample_48,0.281,0.10099999999999999,0.693,0.525,0.595,0.775,0.765,0.782
sample_49,0.281,0.102,0.672,0.491,0.599,0.7490000000000001,0.7290000000000001,0.7390000000000001
sample_50,0.281,0.10300000000000001,0.6559999999999999,0.446,0.602,0.731,0.722,0.741
sample_51,0.309,0.10400000000000001,0.682,0.431,0.606,0.698,0.735,0.737
sample_52,0.309,0.105,0.675,0.423,0.609,0.69,0.736,0.737
sample_53,0.309,0.107,0.6509999999999999,0.313,0.613,0.708,0.737,0.762
sample_54,0.309,0.11,0.69,0.41200000000000003,0.621,0.754,0.825,0.828
sample_55,0.309,0.11599999999999999,0.7020000000000001,0.466,0.629,0.736,0.799,0.821
sample_56,0.309,0.122,0.705,0.506,0.637,0.723,0.775,0.7859999999999999
sample_57,0.309,0.128,0.684,0.509,0.6459999999999999,0.72,0.78,0.74
sample_58,0.309,0.133,0.664,0.491,0.654,0.716,0.773,0.7809999999999999
sample_59,0.309,0.139,0.638,0.467,0.662,0.716,0.8079999999999999,0.7809999999999999
sample_60,0.309,0.145,0.6859999999999999,0.516,0.67,0.725,0.777,0.8079999999999999
sample_61,0.376,0.151,0.6629999999999999,0.502,0.6579999999999999,0.723,0.79,0.78
sample_62,0.376,0.157,0.691,0.556,0.642,0.736,0.8009999999999999,0.809
sample_63,0.376,0.162,0.703,0.629,0.625,0.743,0.799,0.804
sample_64,0.376,0.168,0.695,0.6409999999999999,0.608,0.731,0.797,0.784
sample_65,0.376,0.174,0.6829999999999999,0.664,0.5920000000000001,0.7190000000000001,0.767,0.7759999999999999
sample_66,0.376,0.182,0.677,0.604,0.575,0.706,0.7659999999999999,0.767
sample_67,0.376,0.192,0.662,0.617,0.56,0.7190000000000001,0.769,0.777
sample_68,0.376,0.20199999999999999,0.6829999999999999,0.603,0.547,0.721,0.797,0.8170000000000001
sample_69,0.376,0.212,0.7170000000000001,0.616,0.535,0.72,0.78,0.789
sample_70,0.376,0.222,0.713,0.61,0.522,0.7190000000000001,0.8059999999999999,0.7759999999999999
sample_71,0.379,0.23199999999999998,0.6709999999999999,0.631,0.509,0.718,0.802,0.8240000000000001
sample_72,0.379,0.243,0.705,0.599,0.49700000000000005,0.725,0.8,0.805
sample_73,0.379,0.253,0.706,0.629,0.484,0.759,0.789,0.833
sample_74,0.379,0.322,0.725,0.693,0.47100000000000003,0.7709999999999999,0.8320000000000001,0.853
sample_75,0.379,0.314,0.628,0.759,0.446,0.7659999999999999,0.7959999999999999,0.836
sample_76,0.379,0.306,0.669,0.8370000000000001,0.34299999999999997,0.758,0.825,0.828
sample_77,0.379,0.298,0.698,0.767,0.257,0.691,0.725,0.747
sample_78,0.379,0.289,0.645,0.584,0.27699999999999997,0.6859999999999999,0.716,0.722
sample_79,0.379,0.281,0.652,0.5379999999999999,0.298,0.698,0.7929999999999999,0.792
sample_80,0.379,0.273,0.7020000000000001,0.609,0.318,0.6759999999999999,0.784,0.784
sample_81,0.35100000000000003,0.265,0.685,0.628,0.33799999999999997,0.653,0.75,0.757
sample_82,0.35100000000000003,0.257,0.687,0.622,0.358,0.629,0.758,0.74
sample_83,0.35100000000000003,0.249,0.6920000000000001,0.636,0.37799999999999995,0.609,0.784,0.7709999999999999
sample_84,0.35100000000000003,0.24100000000000002,0.7020000000000001,0.637,0.381,0.596,0.77,0.76
sample_85,0.35100000000000003,0.233,0.69,0.6990000000000001,0.38299999999999995,0.583,0.745,0.7559999999999999
sample_86,0.35100000000000003,0.225,0.6729999999999999,0.703,0.385,0.5529999999999999,0.747,0.72
sample_87,0.35100000000000003,0.217,0.685,0.7070000000000001,0.387,0.524,0.7120000000000001,0.698
sample_88,0.35100000000000003,0.209,0.6809999999999999,0.711,0.389,0.494,0.718,0.7020000000000001
sample_89,0.35100000000000003,0.19,0.664,0.715,0.392,0.44799999999999995,0.7020000000000001,0.682
sample_90,0.35100000000000003,0.172,0.6809999999999999,0.693,0.39399999999999996,0.415,0.687,0.643
sample_91,0.344,0.17800000000000002,0.6759999999999999,0.679,0.397,0.392,0.672,0.631
sample_92,0.344,0.191,0.6859999999999999,0.667,0.409,0.369,0.66,0.618
sample_93,0.344,0.204,0.647,0.598,0.42,0.361,0.653,0.633
sample_94,0.344,0.217,0.649,0.599,0.431,0.4,0.6940000000000001,0.659
