,SMILES
sample_1,Cc1cc(C)cc(C(=O)C(CCCCN)NC2CC3c4ccccc4NC3C(C)N2)c1
sample_2,CN1c2ccccc2Sc2ccc(NC(CC(=O)CCCCC(=O)O)C(=O)O)cc21
sample_3,CC1=CC(C)(CC(NC(=O)C2=C(C)NC(=O)NC2C)C(=O)C2CC3=C4C=CCC=C4N=C3CN2)N=N1
sample_4,N#Cc1c(N)nc2c(N=Nc3ccc(F)cc3)c(N)nn2c1NC(CCCCN)C(=O)Nc1nc2ccc(Br)cc2s1
sample_5,CC1CCCC(NC(F)(F)F)C(=O)N1Nc1ccc(C=O)cc1
sample_6,O=C(OC(Cc1cc(O)cc(O)c1)C(=O)O)C1=NC=NC1
sample_7,Cc1cc(S(=O)(=O)c2ccccc2)ccc1NC1CC(c2cc3c(cc2O)CN(C)CC3)N(N2C(=O)c3cc(S(N)(=O)=O)c(Cl)cc3NC2C)C1
sample_8,Cn1ncc2c(NC3CCCC4SCC(C(=O)CCCCC(=O)O)N4C3=O)ncnc21
sample_9,Cc1cc(S(=O)(=O)c2ccccc2)ccc1C(C(=O)O)C(Cc1ccc(Br)c2c(Br)cccc12)Nc1nn(C)c2ncnc(N)c12
sample_10,Nc1c(Br)cc(Br)cc1CC(CCNc1ccccc1)C(=O)O
sample_11,CC(O)C(O)CCCCP(=O)(O)ONS(=O)(=O)c1ccc(Cl)cc1
sample_12,CCC(C)(O)CN(c1ccc(-c2nnc3n2N=C(C(C)C)CS3)c(Cc2ccc3ccc4ccccc4c3c2)c1)C1C=CC2(C)C=CC=CC2N1
sample_13,CC(C)C1=C(O)C(=O)C2=C(C1=O)C(OC1CC(O)CN1C1(O)CCC3C4CCC5CC(=O)CCC5(C)C4CCC31C)C(O)C1C(C)(C)CCCC21C
sample_14,CC12CCC(O)C=C1CCC1C2CCC2(C)C1CCC2C1CC(O)CN1Cc1ccc(Br)cc1
sample_15,Cn1c(S)nnc1C(CCCNc1ccc2c(=O)n3c(cc2c1)CCCC3)C(=O)O
sample_16,Cc1cccc(NN=C(C#N)c2nc(NC(C)C(=O)CCO)cs2)c1
sample_17,C=CCS(=O)SNCCCC(Nc1cc(Cl)ccc1N=NC1SC(=S)NC1=O)C(=O)O
sample_18,CC1(C)CCCC2(C)C1CCC(C)(O)C2CC(Nc1ccccc1C(=S)N1CCOCC1)C(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O
sample_19,CC(CC(=O)C(Cc1cn2c3c(cc(F)cc3c1=O)CCC2C)NNC(=N)N)C(=O)Nc1ccc(C=O)cc1
sample_20,Cc1cc2c(o1)-c1c(oc3ccccc13)CCC2(C)c1ccccc1C(=O)CCC(C(=O)O)C1CO1
sample_21,Cc1ccc2c(c1C(Nc1cc(O)ccc1O)C(=O)O)CCC1C2CCC2CCCCC21C
sample_22,CC(CCC(CP(c1ccccc1)c1ccccc1)C(=O)O)C(=O)O
sample_23,c1ccc(C2=Nn3c(nnc3C3CCCN3OC3(c4ccccc4)Cc4ccccc43)SC2)cc1
sample_24,CC1CCCC(Nc2csc(C(C#N)=NNc3ccc(F)cc3)n2)C(=O)N1OCC#CCCl
sample_25,C=C(Cl)CCOc1cc(Cl)cc(N)c1Cl
sample_26,CN(C)S(=O)(=O)OC1SCC(C2C(=O)C3CCC(C)(C2=O)C3(C)C)N1CC1CCc2c(c3ccccc3n2C)C1=O
sample_27,Cc1nnc(Nc2cc(N(C3CCC4C5C=CC6CC(O)CCC6(C)C5CC(O)C43C)n3c(C)cc4c(c3=O)C(c3ccccc3)C(C#N)=C(N)O4)ccc2-c2nc3ccccc3nc(=O)c2NNc2ccc(Cl)cc2)s1
sample_28,Cc1c2c(c(NC(CCC(=O)c3c(C#N)c(N)nc4c(N=Nc5ccc(F)cc5)c(N)nn34)C(=O)O)c3c1CC3)CC2
sample_29,CC(=NNC(N)=S)C(=O)C(=O)C(C)CC(=O)C(CN1N=C(C(F)(F)F)C(=NNc2ccc(F)cc2)C1=O)NC(=O)C(Br)(C(F)(F)F)C(F)(F)F
sample_30,NCCCCC(NOC1(C#Cc2ccccc2)Cc2ccccc21)C(=O)c1nc2ccccc2c(=O)o1
sample_31,CC1=C(C(=O)NC(C)C(=O)N2N=C(C(F)(F)F)C(=NNc3ccncc3)C2=O)Cc2ccccc21
sample_32,CC1=NN(OP(=O)(O)CCCCC2C3=C(OC(=O)C2(C)C)C2(C)CCC4C(CC=C5CC(O)CCC54C)C2C3)C(=O)C1=NNc1ccc(Cl)cc1Cl
sample_33,CC1C(=O)C23C(O)CC4C5(C)CCCC4(C(O)OC5)C2C(OCCC(C(=O)O)n2cnc4c(N)nccc42)CC1C3O
sample_34,CCC(C)(C)CC(NN1C(=O)c2ccccc2C1=O)C(=O)CCC(=O)Nc1nc(C)c(C)o1
sample_35,Cc1nc(C(=O)CCC(=O)C(CCCCCCCCCC(=O)O)NC2CCC3(C)C4=CCC5C(C)C(O)CCC5(C)C4=CCC23C)cs1
sample_36,CC1=CC2C(CCC3(C)C2CCC3(C)C(C)C(=O)C2CCC3C4CCC5CC(=O)CCC5(C)C4CC(O)C23C)C2(C)CCC(=O)C=C12
sample_37,CC(C)(C)[Si](C)(C)ON1CC(CNc2cc(=O)oc3ccccc23)CC1Nc1ccccc1NNc1ccccc1
sample_38,CN(C)C=Nc1cccc(OC(CC(=O)C(C)(C)C2=CCC3(C)C(CCC4C5CCC(O)C5(C)CCC43)C2)C(=O)O)c1
sample_39,CC1(C)C(=O)NC1C1(C)C(=O)N2CCCC(c3cc(Cl)c(Br)cc3Cl)N2C1=O
sample_40,CCC(N)CNC(CC1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)C3C(O)C12)CP(=O)(O)CC(=O)C1C=C(c2ccccc2)OC(c2ccccc2)=C1
sample_41,NCCCCC(NCc1cc2ccccc2cn1)C(=O)c1cccc(S(N)(O)O)c1
sample_42,CC(NP(=O)(O)CCC(CCC(=O)O)C(C)(C)C(=O)O)C(=O)Cn1ncc2c(N)ncnc21
sample_43,Cc1cc(Cl)ccc1OCC(NOc1c(Cl)cccc1Cl)C(C(=O)O)c1nc2c3ccccc3ccn2n1
sample_44,C=CCS(=O)SN(c1ccc2c(c1)OCO2)C1CCCCC1
sample_45,CC(NCCN1C(=O)c2ccccc2N(C)c2ccccc21)C(=O)Nc1ncnc2c1cnn2C
sample_46,CC(C(=O)CCCBr)c1cc2ccccc2oc1=S
sample_47,CC(C(=O)CCC(Cc1cccc(O)c1)C(=O)O)(C(F)(F)F)C(F)(F)F
sample_48,CC1C(C(=O)CCCCP(=O)(O)Oc2nc(Cl)nc(Cl)n2)=Cc2ccccc21
sample_49,CC1CCCC(NN2NC(=O)C(Br)(Br)C2=O)C(=O)N1C(=O)CO
sample_50,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(CCCCP(=O)(O)OC3CC4=C5C=CCC=C5N=C4CN3)CCC12
sample_51,Cc1cnc(NNC(C)C(=O)c2ccc3c(C)c(Cl)c(=O)oc3c2)nc1
sample_52,Cc1noc2c1c(=O)n(N1C(=O)C(NC3C=CC4C5C=CC(C5)C34)CCCC1C)c1ccccc21
sample_53,Cc1cc(C2CC(Cc3csc(N=C(N)N)n3)(c3ccc(N=Nc4ccc(O)cc4)cc3)CN2c2nc3ccccc3n2C)cc(C)c1O
sample_54,CS(O)(O)c1ccc(N2CC(CCc3cccs3)CC2Oc2cccc3ccccc23)cc1
sample_55,Cc1cc(C)c(NC(CC2CCC3(C)C(CCC4C3CCC3(C)C4CCC3(O)C#Cc3ccccc3)C2)C(=O)CCC(=O)c2ccc3c(c2)NC(=O)C3)cc1C
sample_56,O=C(NCCCBr)c1ccc2cc3ccccc3cc2c1
sample_57,CC1=NNC(=O)C1N(c1ccc2c(c1)OCO2)c1cccc2c1C(=O)C2
sample_58,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)NC(CC1OC(=O)C2CCC1(C)OC2(C)C)C(=O)CCC(=O)C1CCC2C3CCC45CCC(=O)C4C5(C)C3CCC12C
sample_59,Cc1ccc2c(c1)C(C)(C)C(N(c1ccc(O)cc1C)C1CCCCC1)N2C
sample_60,CC(C)(CCCCCC(Nc1c(Cl)c(Cl)cc(Cl)c1Cl)C(=O)O)C(=O)O
sample_61,Cc1cc(O)ccc1NC1CCCC(C)N(c2ccc(I)cc2)C1=O
sample_62,Cc1cc2c(cc1N(OC1CCC3(C)C(=CCC4C5CCC(=O)C5(C)CCC43)C1)c1ccccc1)CC2C(=O)O
sample_63,O=C(O)C(CCNCN1CCOCC1)NCc1cccc(O)c1
sample_64,O=C(O)C(CCC1CCc2ccccc2N1)Nc1nc2ccccc2s1
sample_65,Cc1cc(C)n(CC(Nc2ccc3c4c2OC2C(O)C=CC5C(C3)N(C)CCC452)C(Nc2cc3c(cc2O)CCNC3)C(=O)O)n1
sample_66,Cc1cc(Cl)ccc1NC(CC(C)CCC(=O)O)C(=O)CC(C)C(=O)n1nc(N)c2nc3ccccc3nc21
sample_67,CN1c2ccccc2Sc2ccc(NC(CCCCN)C(=O)C3CCCC(=NO)C3)cc21
sample_68,Cc1ccccc1NC(=O)CP(=O)(O)CC(CNc1ccccc1O)NC(=O)C(=NNc1cc(Cl)ccc1Cl)S(O)(O)c1ccccc1
sample_69,Cc1cc(C)c(NN2c3ccccc3CC2OC(C)(C)C(=O)O)c(C)c1
sample_70,CC(=O)N(Nc1ccc(NC2CCCC3SCC(OCCCC(=O)O)N3C2=O)cc1)c1ccccc1
sample_71,CC12C=CC=CC1NC(N(CC(=NO)c1ccccc1)C1CCCCC1)C=C2
sample_72,CCCCC(=O)OP(=O)(O)CCCCNC(SC)=C(C#N)C#N
sample_73,Cc1nc(CC(N)C(=O)Cn2ncc3c(N)ncnc32)sc1N=Nc1ccc(F)cc1
sample_74,CC(CC(=O)C(C)NOC1(C)Cc2c(C)c(C)c(C)c(C)c21)=NNc1ccccc1
sample_75,CCC(O)(CC)N1CC(C2CCCCC2)CC1c1cc(O)ccc1C
sample_76,CC1CCC(C(=O)C(C)NP(=O)(O)CCCc2nc3ccccc3s2)C(=NNC(N)=O)C1
sample_77,Cc1cccc(CNC(CCCC2=C(C(N)=O)CCCC2)CP(=O)(O)CC(=O)N2CCCC2)c1C
sample_78,CC(S)C(=O)C1(C)C(=O)N2CCCC(c3ccc4c(=O)n5c(cc4c3)CCCC5)N2C1=O
sample_79,CC(C)CNN(CC1=NC=NC1)c1ccc(OS(C)(O)O)c(-c2c(O)c3ccccc3oc2=O)c1
sample_80,CC(CCCO)NC(C)C(=O)N1C(=O)c2ccccc2NS1(=O)=O
sample_81,Cc1ccc(C(=O)CCC(Nc2ccccc2N)C(=O)O)s1
sample_82,Cc1c(C(=O)C(CCCCN)NCC2CCN(C)C2)c2ccccc2n1C
sample_83,CC(=Nc1ccccc1C)c1c(O)c2ccccc2n(N(CCCCCC(=O)O)c2ccccc2)c1=O
sample_84,NCNC(C(=O)O)C(CCc1cc(Cl)ccc1O)NOC1(c2ccccc2)Cc2ccccc21
sample_85,Cc1ccc(NN2CC3(CC2NC(=S)c2ccccc2)SCCS3)c(C)c1
sample_86,CC(=NN=C1C(=O)Nc2ccccc21)c1c(O)c2ccccc2n(C(=O)C(N)Cc2ccc(N=Nc3ccccc3)cc2)c1=O
sample_87,O=C(O)C(Nc1cc(O)ccc1O)c1c(F)cccc1Cl
sample_88,CN(c1ccc(Br)cc1C=c1sc2nc3ccccc3n2c1=O)c1ccnc2ccccc12
sample_89,N#CC1(C#N)C2OC(CCC(Oc3ccc(Cl)cc3Cl)C(=O)O)C(C3=C2CCCC3)C1(C#N)C#N
sample_90,O=C(CCC(NOc1ccccc1Cl)C(=O)O)NS(=O)(=O)c1ccc(Cl)cc1
sample_91,CC1Nc2cc(Cl)c(S(N)(=O)=O)cc2C(=O)N1C1CC(c2ccc3c4c(n(C)c3c2)CCCC4)CN1NCCCC(=O)O
sample_92,CC(C)C(NN1CC(SOc2ccc(Cl)cc2)CC1C1C(=N)Oc2c(c(=O)oc3ccccc23)C1c1ccc(Br)cc1)C(=O)O
sample_93,Cc1cc(NCCCC(NOC(O)=C2C=NC3=C(CNN3C)C2=O)C(=O)O)nn1C1=CC(C)N=N1
