,SMILES,pIC50
sample_1,[NH3+]CCCCC(NC(=O)OCc1ccccc1)C(=O)NC(CCC(=O)N1CCCC1C(=O)[O-])C(=O)[O-],7.92
sample_2,O=C([O-])C(CCC(=O)N1CCCC1C(=O)[O-])NC(=O)C1CCCN1C(=O)OCc1ccccc1,5.6
sample_3,CC(NC(=O)OCc1ccccc1)C(=O)NC(CCC(=O)N1CCCC1C(=O)[O-])C(=O)[O-],6.41
sample_4,[NH3+]CCCCC(NC(=O)OCc1ccccc1)C(=O)NC(CCC(=O)N1c2ccccc2CC1C(=O)[O-])C(=O)[O-],5.6
sample_5,O=C(NC(Cc1ccccc1)C(=O)NC(CCC(=O)N1c2ccccc2CC1C(=O)[O-])C(=O)[O-])OCc1ccccc1,9.6
sample_6,[NH3+]CCCCC(NC(=O)OCc1ccccc1)C(=O)NC(CCC(=O)N1C(C(=O)[O-])CC2CCCCC21)C(=O)[O-],8.46
sample_7,O=C([O-])C(CCC(=O)N1C(C(=O)[O-])CC2CCCCC21)NC(=O)C1CCCN1C(=O)OCc1ccccc1,7.82
sample_8,[NH3+]CCCCC([NH3+])C(=O)NC(CCC(=O)N1C(C(=O)[O-])CC2CCCCC21)C(=O)[O-],7.92
sample_9,[NH3+]C(Cc1ccccc1)C(=O)NC(CCC(=O)N1C(C(=O)[O-])CC2CCCCC21)C(=O)[O-],7
sample_10,[NH3+]C(Cc1ccccc1)C(=O)NC(CCC(=O)N1C(C(=O)[O-])CC2CCCCC21)C(=O)[O-],6.66
sample_11,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N1CCCC1C(=O)[O-],7.44
sample_12,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N1CC(C2CCCCC2)CC1C(=O)[O-],8.49
sample_13,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N1CC(C2CCCCC2)CC1C(=O)[O-],9.31
sample_14,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N(CC(=O)[O-])c1ccccc1,8.97
sample_15,COc1ccc(N(CC(=O)[O-])C(=O)C(CCCC[NH3+])OP(=O)([O-])CCCCc2ccccc2)cc1OC,9.54
sample_16,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N(CC(=O)[O-])c1ccc2c(c1)OCO2,9.94
sample_17,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N1c2ccccc2CC1C(=O)[O-],9.53
sample_18,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N(CC(=O)[O-])C1CCCCC1,9.53
sample_19,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N1CC(c2ccccc2)CC1C(=O)[O-],6.47
sample_20,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N1CC(c2ccccc2)CC1C(=O)[O-],9.88
sample_21,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N1CC(Cc2ccccc2)CC1C(=O)[O-],9.05
sample_22,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N1CC(Sc2ccccc2)CC1C(=O)[O-],9.11
sample_23,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N1CC(Sc2ccccc2)CC1C(=O)[O-],9.28
sample_24,CSC1CC(C(=O)[O-])N(C(=O)C(CCCC[NH3+])OP(=O)([O-])CCCCc2ccccc2)C1,9.28
sample_25,CSC1CC(C(=O)[O-])N(C(=O)C(CCCC[NH3+])OP(=O)([O-])CCCCc2ccccc2)C1,8.72
sample_26,CSC1(SC)CC(C(=O)[O-])N(C(=O)C(CCCC[NH3+])OP(=O)([O-])CCCCc2ccccc2)C1,8.59
sample_27,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N1CC2(CC1C(=O)[O-])SCCS2,9.2
sample_28,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N1CC(O)CC1C(=O)[O-],9.06
sample_29,[NH3+]CCCCC(OP(=O)([O-])CCCCc1ccccc1)C(=O)N1CC(O)CC1C(=O)[O-],7.8
sample_30,O=C(CCS)NC(CS)C(=O)[O-],4.17
sample_31,O=C(CS)NC(Cc1cnc[nH]1)C(=O)[O-],3.59
sample_32,O=C(CCS)NC(Cc1cnc[nH]1)C(=O)[O-],3.64
sample_33,O=C(CS)NC(Cc1c[nH]c2ccccc12)C(=O)[O-],6.12
sample_34,CC(C)(S)C(=O)NC(CCC(=O)[O-])C(=O)[O-],2.46
sample_35,CC(S)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)[O-],7.19
sample_36,CC(S)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)[O-],6.44
sample_37,CC(C)(S)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)[O-],4.42
sample_38,O=C(CCS)NC(Cc1c[nH]c2ccccc12)C(=O)[O-],5.34
sample_39,O=C(CCS)NC(Cc1c[nH]c2ccccc12)C(=O)[O-],3
sample_40,CC(CS)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)[O-],7.46
sample_41,CC(CS)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)[O-],4.48
sample_42,CC(C)(S)C(=O)NC(CCC(=O)[O-])C(=O)[O-],4.11
sample_43,O=C(CS)NC(CS)C(=O)[O-],4.72
sample_44,CC(S)C(=O)NC(CS)C(=O)[O-],5.1
sample_45,CC(S)C(=O)NC(CS)C(=O)[O-],3.27
sample_46,CC(C)(S)C(=O)NC(CS)C(=O)[O-],2.14
sample_47,O=C([O-])C1C=CCn2c(=O)n(CS)c(=O)n21,6.15
sample_48,O=C([O-])C1CCCN2C(=O)CC(CS)C(=O)N12,7.42
sample_49,CC1(CCS)C(=O)N2CCCC(C(=O)[O-])N2C1=O,7
sample_50,CC(CS)C(=O)N1c2ccccc2CC1C(=O)[O-],8.43
sample_51,O=C([O-])C1CSC(c2ccccc2O)N1C(=O)CCS,8.22
sample_52,O=C([O-])CCc1cc(O)c2n(c1=O)C(C(=O)[O-])CC2,6.34
sample_53,CC(NP(=O)([O-])[O-])C(=O)N1CCCC1C(=O)[O-],6.11
sample_54,O=C([O-])CCn1c(=O)n2n(c1=O)C(C(=O)[O-])C=CC2,9
sample_55,CC(CS)C(=O)N1CCCC1C(=O)[O-],7.64
sample_56,CC(CS)C(=O)N1C(=O)CCC1C(=O)[O-],8.05
sample_57,O=C([O-])C1CCCN1C(=O)C1CCCC1S,7.19
sample_58,O=C([O-])C1CCCN1C(=O)C1CCC1S,7.31
sample_59,O=C([O-])CN1C(=O)C([NH2+]C(CCc2ccccc2)C(=O)[O-])CCc2ccccc21,8.77
