,SMILES,pIGC50
sample_1,c1ccccc1,-0.12
sample_2,Cc1ccc(C)cc1,0.25
sample_3,Cc1ccccc1,0.25
sample_4,CCCCc1ccccc1,1.25
sample_5,CCCCCc1ccccc1,1.79
sample_6,NCc1ccccc1,-0.24
sample_7,CC(C)c1ccccc1,0.69
sample_8,OCCCCCc1ccccc1,0.42
sample_9,CC(C)(O)CCc1ccccc1,-0.07
sample_10,OCCCc1ccccc1,-0.21
sample_11,OCc1ccccc1,-0.83
sample_12,CC(O)c1ccccc1,-0.66
sample_13,CCc1ccc(CO)cc1,0.07
sample_14,CCCC(O)c1ccccc1,-0.01
sample_15,OCc1ccc(-c2ccccc2)cc1,0.92
sample_16,CCc1ccc(-c2ccccc2)cc1,1.97
sample_17,c1ccc(-c2ccccc2)cc1,1.05
sample_18,CC(O)(Cc1ccccc1)c1ccccc1,0.8
sample_19,CC(O)C(c1ccccc1)c1ccccc1,0.75
sample_20,Cc1ccc(N)cc1C,-0.16
sample_21,Nc1cccc(CO)c1,-1.13
sample_22,CCCCOc1ccc(N)cc1,0.61
sample_23,Cc1ccc(N)cc1,-0.05
sample_24,CCc1cccc(N)c1,-0.03
sample_25,CCc1ccc(N)cc1,0.03
sample_26,Cc1cccc(N)c1,-0.28
sample_27,CC(C)c1cccc(C(C)C)c1N,0.76
sample_28,CCc1ccccc1N,-0.22
sample_29,CCc1cccc(CC)c1N,0.31
sample_30,COc1ccc(O)cc1,-0.14
sample_31,Cc1cc(O)cc(C)c1C,0.93
sample_32,ClCc1ccccc1,0.06
sample_33,COc1ccc(C)cc1,0.25
sample_34,CC(C)(C)c1ccc(O)cc1,0.91
sample_35,COc1ccccc1,-0.1
sample_36,CCc1ccc(O)cc1,0.21
sample_37,CCc1cccc(O)c1,0.29
sample_38,Cc1ccccc1O,-0.29
sample_39,CCc1ccccc1O,0.16
sample_40,Oc1ccccc1,-0.35
sample_41,C=CCc1ccccc1O,0.33
sample_42,Ic1ccccc1,0.36
sample_43,Nc1ccc(Cl)cc1,0.05
sample_44,OCCc1ccc(O)cc1,-0.83
sample_45,Cc1ccc(N)c(Cl)c1,0.18
sample_46,CCCCCc1cc(O)cc(O)c1,1.31
sample_47,COc1cccc(O)c1,-0.33
sample_48,CCCCCCc1ccc(O)cc1O,1.8
sample_49,Cc1ccc(Br)cc1,0.47
sample_50,COc1ccc(Cl)cc1,0.6
sample_51,Oc1cccc(O)c1,-0.65
sample_52,Brc1ccccc1,0.08
sample_53,Oc1ccc(I)cc1,0.85
sample_54,NCCc1ccc(Cl)cc1,0.14
sample_55,NCc1ccc(Cl)cc1,0.16
sample_56,Nc1ccc(Cl)cc1Cl,0.56
sample_57,Nc1cccc(Cl)c1,0.22
sample_58,CCCCCOc1ccc(C=O)cc1,1.18
sample_59,Cc1ccc([N+](=O)[O-])cc1,0.65
sample_60,CC(C)c1ccc(C=O)cc1,0.67
sample_61,Cc1cccc([N+](=O)[O-])c1C,0.56
sample_62,Oc1cccc(Cl)c1,0.87
sample_63,Cc1cccc([N+](=O)[O-])c1,0.42
sample_64,Cc1ccccc1[N+](=O)[O-],0.26
sample_65,Brc1ccc(Br)cc1,0.68
sample_66,O=Cc1ccccc1,-0.2
sample_67,COc1cc(C=O)ccc1O,-0.03
sample_68,Oc1ccc(Cl)cc1Cl,1.04
sample_69,CCCCC(=O)c1ccccc1,0.56
sample_70,CCCC(=O)c1ccccc1,0.21
