,y1,x1,x2,x3,x4,x5
sample_1,0.0834,0.6629999999999999,0.774,0.47100000000000003,0.096,0.0199
sample_2,0.0834,0.66,0.7659999999999999,0.473,0.111,0.027999999999999997
sample_3,0.0834,0.655,0.768,0.474,0.105,0.0289
sample_4,0.0834,0.653,0.77,0.47600000000000003,0.0662,0.0294
sample_5,0.0834,0.655,0.76,0.479,0.0337,0.0316
sample_6,0.0834,0.6559999999999999,0.7709999999999999,0.48,0.0764,0.0291
sample_7,0.0834,0.659,0.768,0.474,0.0728,0.0305
sample_8,0.0834,0.665,0.772,0.469,0.0379,0.0283
sample_9,0.0834,0.659,0.769,0.46799999999999997,0.21,0.177
sample_10,0.0834,0.6509999999999999,0.753,0.465,0.40299999999999997,0.386
sample_11,0.0834,0.65,0.754,0.46799999999999997,0.397,0.445
sample_12,0.0834,0.645,0.765,0.46799999999999997,0.37799999999999995,0.475
sample_13,0.0834,0.6409999999999999,0.7709999999999999,0.465,0.408,0.49
sample_14,0.0834,0.644,0.7759999999999999,0.449,0.429,0.49700000000000005
sample_15,0.0834,0.647,0.784,0.431,0.409,0.496
sample_16,0.0834,0.653,0.7829999999999999,0.428,0.39799999999999996,0.498
sample_17,0.0834,0.664,0.7659999999999999,0.428,0.4,0.506
sample_18,0.0834,0.6729999999999999,0.752,0.425,0.41700000000000004,0.509
sample_19,0.0834,0.677,0.763,0.419,0.409,0.507
sample_20,0.0834,0.674,0.764,0.418,0.391,0.509
sample_21,0.0812,0.669,0.763,0.43,0.39399999999999996,0.509
sample_22,0.0812,0.6659999999999999,0.768,0.441,0.43,0.507
sample_23,0.0812,0.665,0.772,0.44299999999999995,0.43700000000000006,0.507
sample_24,0.0812,0.664,0.774,0.44299999999999995,0.39299999999999996,0.505
sample_25,0.0812,0.6659999999999999,0.772,0.439,0.377,0.505
sample_26,0.0812,0.667,0.778,0.431,0.41600000000000004,0.505
sample_27,0.0812,0.662,0.759,0.424,0.436,0.512
sample_28,0.0812,0.659,0.752,0.43200000000000005,0.436,0.515
sample_29,0.0812,0.66,0.7509999999999999,0.433,0.451,0.515
sample_30,0.0812,0.6629999999999999,0.757,0.42700000000000005,0.39,0.515
sample_31,0.0812,0.6679999999999999,0.767,0.418,0.384,0.513
sample_32,0.0812,0.6709999999999999,0.77,0.41200000000000003,0.402,0.51
sample_33,0.0812,0.67,0.782,0.415,0.376,0.505
sample_34,0.0812,0.6709999999999999,0.767,0.41700000000000004,0.375,0.507
