,y,x1,x2,x3,x4,x5
sample_1,0.191,0.663,0.774,0.471,0.096,0.0199
sample_2,0.191,0.66,0.766,0.473,0.111,0.028
sample_3,0.191,0.655,0.768,0.474,0.105,0.0289
sample_4,0.191,0.653,0.77,0.476,0.0662,0.0294
sample_5,0.191,0.655,0.76,0.479,0.0337,0.0316
sample_6,0.191,0.656,0.771,0.48,0.0764,0.0291
sample_7,0.191,0.659,0.768,0.474,0.0728,0.0305
sample_8,0.191,0.665,0.772,0.469,0.0379,0.0283
sample_9,0.191,0.659,0.769,0.468,0.21,0.177
sample_10,0.191,0.651,0.753,0.465,0.403,0.386
sample_11,0.191,0.65,0.754,0.468,0.397,0.445
sample_12,0.191,0.645,0.765,0.468,0.378,0.475
sample_13,0.191,0.641,0.771,0.465,0.408,0.49
sample_14,0.191,0.644,0.776,0.449,0.429,0.497
sample_15,0.191,0.647,0.784,0.431,0.409,0.496
sample_16,0.191,0.653,0.783,0.428,0.398,0.498
sample_17,0.191,0.664,0.766,0.428,0.4,0.506
sample_18,0.191,0.673,0.752,0.425,0.417,0.509
sample_19,0.191,0.677,0.763,0.419,0.409,0.507
sample_20,0.191,0.674,0.764,0.418,0.391,0.509
sample_21,0.14,0.669,0.763,0.43,0.394,0.509
sample_22,0.14,0.666,0.768,0.441,0.43,0.507
sample_23,0.14,0.665,0.772,0.443,0.437,0.507
sample_24,0.14,0.664,0.774,0.443,0.393,0.505
sample_25,0.14,0.666,0.772,0.439,0.377,0.505
sample_26,0.14,0.667,0.778,0.431,0.416,0.505
sample_27,0.14,0.662,0.759,0.424,0.436,0.512
sample_28,0.14,0.659,0.752,0.432,0.436,0.515
sample_29,0.14,0.66,0.751,0.433,0.451,0.515
sample_30,0.14,0.663,0.757,0.427,0.39,0.515
sample_31,0.14,0.668,0.767,0.418,0.384,0.513
sample_32,0.14,0.671,0.77,0.412,0.402,0.51
sample_33,0.14,0.67,0.782,0.415,0.376,0.505
sample_34,0.14,0.671,0.767,0.417,0.375,0.507
sample_35,0.14,0.672,0.764,0.417,0.371,0.507
sample_36,0.14,0.67,0.783,0.412,0.376,0.504
sample_37,0.14,0.667,0.784,0.401,0.397,0.505
sample_38,0.14,0.666,0.782,0.396,0.383,0.507
sample_39,0.14,0.667,0.787,0.395,0.424,0.504
sample_40,0.14,0.664,0.769,0.398,0.437,0.508
sample_41,0.185,0.662,0.769,0.401,0.423,0.509
sample_42,0.185,0.66,0.783,0.39,0.433,0.507
sample_43,0.185,0.662,0.778,0.384,0.409,0.511
sample_44,0.185,0.667,0.77,0.39,0.399,0.511
sample_45,0.185,0.672,0.755,0.387,0.395,0.517
sample_46,0.185,0.678,0.768,0.38,0.425,0.516
sample_47,0.185,0.678,0.782,0.383,0.441,0.509
sample_48,0.185,0.674,0.769,0.38,0.428,0.513
sample_49,0.185,0.664,0.756,0.385,0.405,0.519
sample_50,0.185,0.652,0.758,0.394,0.367,0.519
sample_51,0.185,0.646,0.751,0.397,0.435,0.526
sample_52,0.185,0.641,0.756,0.401,0.455,0.52
sample_53,0.185,0.645,0.768,0.397,0.43,0.505
sample_54,0.185,0.648,0.753,0.384,0.426,0.512
sample_55,0.185,0.644,0.751,0.376,0.418,0.517
sample_56,0.185,0.643,0.754,0.372,0.42,0.511
sample_57,0.185,0.643,0.768,0.37,0.39,0.507
sample_58,0.185,0.641,0.781,0.37,0.373,0.508
sample_59,0.185,0.635,0.78,0.364,0.383,0.5
sample_60,0.185,0.633,0.769,0.352,0.397,0.501
sample_61,0.217,0.638,0.771,0.35,0.382,0.504
sample_62,0.217,0.645,0.791,0.355,0.382,0.498
sample_63,0.217,0.648,0.791,0.353,0.382,0.5
sample_64,0.217,0.646,0.778,0.339,0.382,0.506
sample_65,0.217,0.647,0.771,0.333,0.402,0.509
sample_66,0.217,0.647,0.78,0.336,0.406,0.504
sample_67,0.217,0.643,0.778,0.332,0.396,0.507
sample_68,0.217,0.634,0.765,0.322,0.393,0.515
sample_69,0.217,0.629,0.766,0.32,0.409,0.513
sample_70,0.217,0.633,0.782,0.319,0.41,0.506
sample_71,0.217,0.642,0.783,0.309,0.394,0.507
sample_72,0.217,0.644,0.78,0.305,0.408,0.507
sample_73,0.217,0.638,0.772,0.306,0.388,0.507
sample_74,0.217,0.638,0.775,0.309,0.386,0.511
sample_75,0.217,0.646,0.781,0.313,0.391,0.508
sample_76,0.217,0.65,0.781,0.313,0.385,0.497
sample_77,0.217,0.649,0.763,0.312,0.401,0.501
sample_78,0.217,0.65,0.749,0.311,0.378,0.508
sample_79,0.217,0.654,0.765,0.311,0.385,0.503
sample_80,0.217,0.657,0.771,0.317,0.398,0.499
sample_81,0.138,0.654,0.782,0.321,0.373,0.5
sample_82,0.138,0.645,0.777,0.32,0.374,0.508
sample_83,0.138,0.64,0.754,0.324,0.395,0.512
sample_84,0.138,0.633,0.766,0.327,0.398,0.508
sample_85,0.138,0.628,0.776,0.329,0.414,0.506
sample_86,0.138,0.626,0.78,0.329,0.43,0.505
sample_87,0.138,0.625,0.774,0.324,0.43,0.507
sample_88,0.138,0.62,0.759,0.314,0.409,0.511
sample_89,0.138,0.621,0.768,0.301,0.389,0.512
sample_90,0.138,0.624,0.783,0.294,0.392,0.509
sample_91,0.138,0.619,0.78,0.291,0.448,0.512
sample_92,0.138,0.616,0.772,0.291,0.44,0.513
sample_93,0.138,0.619,0.778,0.288,0.4,0.509
sample_94,0.138,0.625,0.778,0.293,0.426,0.506
sample_95,0.138,0.631,0.767,0.298,0.405,0.508
sample_96,0.138,0.637,0.765,0.3,0.384,0.509
sample_97,0.138,0.64,0.765,0.296,0.383,0.505
sample_98,0.138,0.639,0.778,0.297,0.409,0.499
sample_99,0.138,0.636,0.778,0.305,0.421,0.499
sample_100,0.138,0.631,0.769,0.309,0.387,0.506
sample_101,0.168,0.626,0.763,0.313,0.413,0.508
sample_102,0.168,0.622,0.774,0.311,0.41,0.504
sample_103,0.168,0.617,0.779,0.303,0.364,0.506
sample_104,0.168,0.618,0.761,0.297,0.389,0.514
sample_105,0.168,0.624,0.761,0.292,0.391,0.513
sample_106,0.168,0.624,0.759,0.287,0.391,0.512
sample_107,0.168,0.625,0.771,0.291,0.418,0.508
sample_108,0.168,0.626,0.774,0.296,0.429,0.507
sample_109,0.168,0.627,0.749,0.302,0.443,0.511
sample_110,0.168,0.625,0.762,0.308,0.418,0.511
sample_111,0.168,0.619,0.775,0.307,0.381,0.506
sample_112,0.168,0.614,0.787,0.304,0.422,0.499
sample_113,0.168,0.613,0.78,0.303,0.442,0.502
sample_114,0.168,0.613,0.777,0.3,0.409,0.502
sample_115,0.168,0.611,0.772,0.297,0.421,0.504
sample_116,0.168,0.608,0.766,0.293,0.394,0.508
sample_117,0.168,0.61,0.773,0.292,0.402,0.505
sample_118,0.168,0.609,0.776,0.285,0.422,0.506
sample_119,0.168,0.614,0.756,0.279,0.384,0.511
sample_120,0.168,0.621,0.758,0.282,0.398,0.51
sample_121,0.182,0.622,0.768,0.285,0.419,0.512
sample_122,0.182,0.62,0.771,0.285,0.389,0.508
sample_123,0.182,0.617,0.782,0.286,0.396,0.501
sample_124,0.182,0.617,0.781,0.284,0.39,0.502
sample_125,0.182,0.617,0.788,0.278,0.398,0.502
sample_126,0.182,0.618,0.784,0.284,0.417,0.505
sample_127,0.182,0.618,0.778,0.285,0.405,0.506
sample_128,0.182,0.618,0.77,0.283,0.425,0.506
sample_129,0.182,0.617,0.768,0.281,0.446,0.505
sample_130,0.182,0.617,0.757,0.276,0.452,0.508
sample_131,0.182,0.621,0.743,0.278,0.418,0.514
sample_132,0.182,0.625,0.756,0.271,0.386,0.514
sample_133,0.182,0.627,0.77,0.276,0.37,0.512
sample_134,0.182,0.627,0.773,0.287,0.385,0.51
sample_135,0.182,0.627,0.761,0.281,0.388,0.512
