,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
1,49.199,2631.9,24.991,52.362,3101.8,23.191,65.694,230.03,341.56,94.73,77.216,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579
2,50.281,2633.2,27.12,49.838,3101.6,21.912,65.677,228.23,341.55,94.563,77.277,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579
3,51.839,2635.1,26.465,50.223,3104,22.676,65.695,231.4,341.7,94.652,77.594,32.005,9.169,26.428,6.7949,19.149,1.6625,32.628,13.854,24.234,1.2476,18.47
4,50.604,2636.6,25.977,48.526,3105.6,23.61,65.743,231.26,341.37,94.464,77.584,32.005,9.169,26.428,6.7949,19.149,1.6625,32.628,13.854,24.234,1.2476,18.47
5,48.721,2639.2,25.821,50.132,3106.7,22.547,65.786,232.05,341.86,94.44,77.67,32.175,8.8893,26.778,6.8241,18.954,1.6442,32.516,13.942,23.592,1.2293,18.738
6,49.279,2636.7,24.893,46.774,3105.4,22.069,65.851,230.7,341.97,94.406,77.149,32.175,8.8893,26.778,6.8241,18.954,1.6442,32.516,13.942,23.592,1.2293,18.738
7,48.636,2632.4,25.293,47.786,3100.3,23.491,65.786,227.97,341.87,94.507,76.782,32.09,8.8633,26.242,6.9141,18.448,1.6231,32.862,13.687,24.212,1.2379,18.668
8,50.492,2630.7,24.904,50.224,3099.7,24.1,65.732,231.89,341.71,94.657,77.239,32.09,8.8633,26.242,6.9141,18.448,1.6231,32.862,13.687,24.212,1.2379,18.668
9,49.319,2632.9,26.497,50.51,3101.9,23.03,65.717,228.92,341.63,94.507,77.059,32.002,8.8418,26.702,7.0362,18.406,1.6068,32.888,13.858,24.258,1.1964,18.722
10,50.809,2634.7,25.53,50.821,3101.4,23.141,65.705,231.48,341.82,94.566,77.567,32.002,8.8418,26.702,7.0362,18.406,1.6068,32.888,13.858,24.258,1.1964,18.722
11,51.776,2634.8,23.849,48.926,3101.7,23.276,65.732,231.82,341.66,94.656,77.152,32.037,8.9521,26.15,6.9342,18.786,1.6422,32.817,13.793,24.742,1.2387,18.283
